	name2	chrom	cdsStart	cdsEnd
7	FAM138A	chr1	34554	36081
15	OR4F5	chr1	65419	71585
34	AL627309.1	chr1	89295	133723
57	AL627309.3	chr1	89551	91105
61	AL627309.2	chr1	139790	140339
65	AL627309.5	chr1	141474	173862
93	AL627309.4	chr1	160446	161525
97	AP006222.2	chr1	266855	268655
101	AL732372.1	chr1	358857	366052
111	OR4F29	chr1	450703	451697
119	AC114498.1	chr1	587629	594768
126	OR4F16	chr1	685679	686673
134	AL669831.2	chr1	760911	761989
138	LINC01409	chr1	778747	810065
282	FAM87B	chr1	817371	819837
286	LINC01128	chr1	825138	868202
447	LINC00115	chr1	826206	827522
450	FAM41C	chr1	868071	876903
464	AL645608.6	chr1	904834	915976
468	AL645608.2	chr1	911435	914948
472	AL645608.4	chr1	914171	914971
476	LINC02593	chr1	916865	921016
487	SAMD11	chr1	923928	944581
844	NOC2L	chr1	944203	959309
926	KLHL17	chr1	960584	965719
1000	PLEKHN1	chr1	966482	975865
1125	PERM1	chr1	975204	982093
1154	AL645608.7	chr1	995966	998051
1157	HES4	chr1	998962	1000172
1196	ISG15	chr1	1001138	1014540
1226	AL645608.1	chr1	1011997	1013193
1230	AGRN	chr1	1020120	1056118
1570	AL645608.5	chr1	1055033	1056116
1574	AL645608.8	chr1	1062208	1063288
1578	RNF223	chr1	1070967	1074306
1588	C1orf159	chr1	1081818	1116361
1907	AL390719.3	chr1	1097585	1104598
1911	LINC01342	chr1	1137017	1144056
1916	AL390719.2	chr1	1169357	1170343
1919	TTLL10-AS1	chr1	1173056	1179555
1923	TTLL10	chr1	1173884	1197935
2046	TNFRSF18	chr1	1203508	1206592
2101	TNFRSF4	chr1	1211340	1214153
2132	SDF4	chr1	1216908	1232067
2247	B3GALT6	chr1	1232237	1235041
2255	C1QTNF12	chr1	1242446	1246722
2291	AL162741.1	chr1	1249777	1251334
2294	UBE2J2	chr1	1253909	1273885
2569	LINC01786	chr1	1275223	1280420
2577	SCNN1D	chr1	1280436	1292029
2796	ACAP3	chr1	1292390	1309609
2998	PUSL1	chr1	1308597	1311677
3050	INTS11	chr1	1311585	1324691
3888	AL139287.1	chr1	1317581	1318689
3892	CPTP	chr1	1324756	1328896
3916	TAS1R3	chr1	1331280	1335314
3934	DVL1	chr1	1335276	1349418
4077	MXRA8	chr1	1352689	1361777
4202	AURKAIP1	chr1	1373730	1375495
4259	CCNL2	chr1	1385711	1399335
4519	MRPL20-AS1	chr1	1399520	1402046
4549	MRPL20	chr1	1401909	1407293
4595	AL391244.2	chr1	1409096	1410618
4598	ANKRD65	chr1	1418420	1421769
4651	AL391244.1	chr1	1420245	1422691
4655	TMEM88B	chr1	1426128	1427787
4664	LINC01770	chr1	1430539	1434573
4677	VWA1	chr1	1434861	1442882
4714	ATAD3C	chr1	1449689	1470163
4762	ATAD3B	chr1	1471765	1497848
4869	ATAD3A	chr1	1512162	1534685
5061	TMEM240	chr1	1534778	1540624
5099	SSU72	chr1	1541673	1574863
5132	AL645728.1	chr1	1574102	1577075
5138	FNDC10	chr1	1598012	1600135
5146	AL691432.4	chr1	1600314	1602703
5151	AL691432.2	chr1	1613758	1615795
5154	MIB2	chr1	1615415	1630610
5803	MMP23B	chr1	1632163	1635263
5926	CDK11B	chr1	1635227	1659012
6303	FO704657.1	chr1	1659325	1662602
6307	SLC35E2B	chr1	1659529	1692795
6385	CDK11A	chr1	1702379	1724357
6833	SLC35E2A	chr1	1724838	1745999
6894	NADK	chr1	1751232	1780457
7114	GNB1	chr1	1785285	1891117
7269	AL109917.1	chr1	1891471	1892658
7273	CALML6	chr1	1915108	1917296
7314	TMEM52	chr1	1917590	1919279
7375	CFAP74	chr1	1921951	2003837
7602	AL391845.2	chr1	2013213	2015639
7610	GABRD	chr1	2019329	2030758
7856	AL391845.1	chr1	2049203	2050070
7864	PRKCZ	chr1	2050411	2185395
8269	AL590822.2	chr1	2141084	2145279
8272	PRKCZ-AS1	chr1	2181794	2184389
8280	FAAP20	chr1	2184461	2212720
8426	AL590822.1	chr1	2212523	2220738
8430	SKI	chr1	2228319	2310213
8460	AL590822.3	chr1	2315040	2323085
8470	MORN1	chr1	2321253	2391707
8604	AL589739.1	chr1	2326201	2326693
8607	AL513477.2	chr1	2363061	2363628
8610	RER1	chr1	2391775	2405442
8738	PEX10	chr1	2403964	2413797
8858	PLCH2	chr1	2425980	2505532
9090	AL139246.1	chr1	2492300	2493258
9094	AL139246.4	chr1	2493437	2494479
9098	PANK4	chr1	2508537	2526611
9340	HES5	chr1	2528745	2530263
